age_group,year,state,voted,yearSDR
18-24,1992,Maryland,0.5702479338842975,2016
18-24,1992,Massachusetts,0.4651685393258427,NA
18-24,1992,Michigan,0.5136986301369864,NA
18-24,1992,Minnesota,0.6521739130434783,1978
18-24,1992,Mississippi,0.5,NA
18-24,1992,Missouri,0.4696132596685083,NA
18-24,1992,Montana,0.5283018867924528,2006
18-24,1992,Nebraska,0.4105263157894737,NA
18-24,1992,Nevada,0.42857142857142855,NA
18-24,1992,New Hampshire,0.43137254901960786,1996
18-24,1992,New Jersey,0.48723404255319147,NA
18-24,1992,New Mexico,0.44537815126050423,NA
18-24,1992,New York,0.4731457800511509,NA
18-24,1992,North Carolina,0.42045454545454547,2008
18-24,1992,Ohio,0.48299319727891155,2006
18-24,1992,Oklahoma,0.5246913580246914,NA
18-24,1992,Oregon,0.5701754385964912,NA
18-24,1992,Pennsylvania,0.4197952218430034,NA
18-24,1992,Rhode Island,0.5294117647058824,NA
18-24,1992,South Carolina,0.42105263157894735,NA
18-24,1992,South Dakota,0.45226130653266333,NA
18-24,1992,Tennessee,0.3958333333333333,NA
18-24,1992,Texas,0.38785834738617203,NA
18-24,1992,Utah,0.6402116402116402,2018
18-24,1992,Vermont,0.5,2018
18-24,1992,Virginia,0.4715909090909091,NA
18-24,1992,Washington,0.5511811023622047,NA
18-24,1992,West Virginia,0.3885350318471338,NA
18-24,1992,Wisconsin,0.654054054054054,1978
18-24,1992,Wyoming,0.37719298245614036,1994
18-24,1994,Alabama,0.24161073825503357,NA
18-24,1994,Alaska,0.2781954887218045,NA
18-24,1994,Arizona,0.1978021978021978,NA
18-24,1994,Arkansas,0.15723270440251572,NA
18-24,1994,California,0.35807860262008734,2018
18-24,1994,Colorado,0.18181818181818182,2014
18-24,1994,Connecticut,0.16666666666666666,2014
18-24,1994,Delaware,0.16379310344827586,NA
18-24,1994,Florida,0.1839080459770115,NA
18-24,1994,Georgia,0.1829787234042553,NA
18-24,1994,Hawaii,0.2553191489361702,2018
18-24,1994,Idaho,0.26737967914438504,1994
18-24,1994,Illinois,0.21120689655172414,2006
18-24,1994,Indiana,0.12142857142857143,NA
18-24,1994,Iowa,0.28313253012048195,2008
18-24,1994,Kansas,0.15625,NA
18-24,1994,Kentucky,0.144,NA
18-24,1994,Louisiana,0.14173228346456693,NA
18-24,1994,Maine,0.3474576271186441,1978
18-24,1994,Maryland,0.32978723404255317,2016
18-24,1994,Massachusetts,0.24130434782608695,NA
18-24,1994,Michigan,0.2563600782778865,NA
18-24,1994,Minnesota,0.23076923076923078,1978
18-24,1994,Mississippi,0.25443786982248523,NA
18-24,1994,Missouri,0.3142857142857143,NA
18-24,1994,Montana,0.3088235294117647,2006
18-24,1994,Nebraska,0.23809523809523808,NA
18-24,1994,Nevada,0.12727272727272726,NA
18-24,1994,New Hampshire,0.13953488372093023,1996
18-24,1994,New Jersey,0.19633507853403143,NA
18-24,1994,New Mexico,0.15037593984962405,NA
18-24,1994,New York,0.24219910846953938,NA
18-24,1994,North Carolina,0.14074074074074075,2008
18-24,1994,Ohio,0.19699812382739212,2006
18-24,1994,Oklahoma,0.18840579710144928,NA
18-24,1994,Oregon,0.3017241379310345,NA
18-24,1994,Pennsylvania,0.1623931623931624,NA
18-24,1994,Rhode Island,0.2976190476190476,NA
18-24,1994,South Carolina,0.275,NA
18-24,1994,South Dakota,0.3141025641025641,NA
18-24,1994,Tennessee,0.25316455696202533,NA
18-24,1994,Texas,0.17115384615384616,NA
18-24,1994,Utah,0.24736842105263157,2018
18-24,1994,Vermont,0.18627450980392157,2018
18-24,1994,Virginia,0.20416666666666666,NA
18-24,1994,Washington,0.19834710743801653,NA
18-24,1994,West Virginia,0.14189189189189189,NA
18-24,1994,Wisconsin,0.26744186046511625,1978
18-24,1994,Wyoming,0.373134328358209,1994
18-24,1996,Alabama,0.281437125748503,NA
18-24,1996,Alaska,0.3262411347517731,NA
18-24,1996,Arizona,0.32934131736526945,NA
18-24,1996,Arkansas,0.29936305732484075,NA
18-24,1996,California,0.4230769230769231,2018
18-24,1996,Colorado,0.3221476510067114,2014
18-24,1996,Connecticut,0.4891304347826087,2014
18-24,1996,Delaware,0.3153153153153153,NA
18-24,1996,Florida,0.2646239554317549,NA
18-24,1996,Georgia,0.3446327683615819,NA
18-24,1996,Hawaii,0.2631578947368421,2018
18-24,1996,Idaho,0.4121212121212121,1994
18-24,1996,Illinois,0.4039408866995074,2006
18-24,1996,Indiana,0.3953488372093023,NA
18-24,1996,Iowa,0.3873239436619718,2008
18-24,1996,Kansas,0.4217687074829932,NA
18-24,1996,Kentucky,0.2845528455284553,NA
18-24,1996,Louisiana,0.3717948717948718,NA
18-24,1996,Maine,0.3894736842105263,1978
18-24,1996,Maryland,0.379746835443038,2016
18-24,1996,Massachusetts,0.36923076923076925,NA
18-24,1996,Michigan,0.38345864661654133,NA
18-24,1996,Minnesota,0.40559440559440557,1978
18-24,1996,Mississippi,0.38571428571428573,NA
18-24,1996,Missouri,0.34074074074074073,NA
18-24,1996,Montana,0.35,2006
18-24,1996,Nebraska,0.3116883116883117,NA
18-24,1996,Nevada,0.2222222222222222,NA
18-24,1996,New Hampshire,0.2988505747126437,1996
18-24,1996,New Jersey,0.32793522267206476,NA
18-24,1996,New Mexico,0.3082191780821918,NA
18-24,1996,New York,0.36470588235294116,NA
18-24,1996,North Carolina,0.3371647509578544,2008
18-24,1996,Ohio,0.36855670103092786,2006
18-24,1996,Oklahoma,0.3393939393939394,NA
18-24,1996,Oregon,0.2755102040816326,NA
18-24,1996,Pennsylvania,0.30679156908665106,NA
18-24,1996,Rhode Island,0.3333333333333333,NA
18-24,1996,South Carolina,0.30392156862745096,NA
18-24,1996,South Dakota,0.3624161073825503,NA
18-24,1996,Tennessee,0.2937062937062937,NA
18-24,1996,Texas,0.32,NA
18-24,1996,Utah,0.36538461538461536,2018
18-24,1996,Vermont,0.25961538461538464,2018
18-24,1996,Virginia,0.36585365853658536,NA
18-24,1996,Washington,0.3565217391304348,NA
18-24,1996,West Virginia,0.2631578947368421,NA
18-24,1996,Wisconsin,0.43795620437956206,1978
18-24,1996,Wyoming,0.4258064516129032,1994
18-24,1998,Alabama,0.3032258064516129,NA
18-24,1998,Alaska,0.2549019607843137,NA
18-24,1998,Arizona,0.0896551724137931,NA
18-24,1998,Arkansas,0.13008130081300814,NA
18-24,1998,California,0.26019690576652604,2018
18-24,1998,Colorado,0.26277372262773724,2014
18-24,1998,Connecticut,0.1590909090909091,2014
18-24,1998,Delaware,0.11428571428571428,NA
18-24,1998,Florida,0.12032085561497326,NA
18-24,1998,Georgia,0.14965986394557823,NA
18-24,1998,Hawaii,0.25510204081632654,2018
18-24,1998,Idaho,0.2251655629139073,1994
18-24,1998,Illinois,0.18803418803418803,2006
18-24,1998,Indiana,0.18045112781954886,NA
18-24,1998,Iowa,0.20535714285714285,2008
18-24,1998,Kansas,0.10666666666666667,NA
18-24,1998,Kentucky,0.24347826086956523,NA
18-24,1998,Louisiana,0.2074468085106383,NA
18-24,1998,Maine,0.18085106382978725,1978
18-24,1998,Maryland,0.21621621621621623,2016
18-24,1998,Massachusetts,0.22167487684729065,NA
18-24,1998,Michigan,0.1867816091954023,NA
18-24,1998,Minnesota,0.39855072463768115,1978
18-24,1998,Mississippi,0.09166666666666666,NA
18-24,1998,Missouri,0.21875,NA
18-24,1998,Montana,0.21428571428571427,2006
18-24,1998,Nebraska,0.16216216216216217,NA
18-24,1998,Nevada,0.10569105691056911,NA
18-24,1998,New Hampshire,0.16666666666666666,1996
18-24,1998,New Jersey,0.15547703180212014,NA
18-24,1998,New Mexico,0.22388059701492538,NA
18-24,1998,New York,0.1988527724665392,NA
18-24,1998,North Carolina,0.14006514657980457,2008
18-24,1998,Ohio,0.20159151193633953,2006
18-24,1998,Oklahoma,0.13970588235294118,NA
18-24,1998,Oregon,0.19834710743801653,NA
18-24,1998,Pennsylvania,0.14392059553349876,NA
18-24,1998,Rhode Island,0.1566265060240964,NA
18-24,1998,South Carolina,0.19658119658119658,NA
18-24,1998,South Dakota,0.14285714285714285,NA
18-24,1998,Tennessee,0.13541666666666666,NA
18-24,1998,Texas,0.11036036036036036,NA
18-24,1998,Utah,0.15,2018
18-24,1998,Vermont,0.15476190476190477,2018
18-24,1998,Virginia,0.075,NA
18-24,1998,Washington,0.19424460431654678,NA
18-24,1998,West Virginia,0.12396694214876033,NA
18-24,1998,Wisconsin,0.2846715328467153,1978
18-24,1998,Wyoming,0.3263888888888889,1994
18-24,2000,Alabama,0.3877551020408163,NA
18-24,2000,Alaska,0.45081967213114754,NA
18-24,2000,Arizona,0.2604166666666667,NA
18-24,2000,Arkansas,0.36153846153846153,NA
18-24,2000,California,0.3835978835978836,2018
18-24,2000,Colorado,0.3013698630136986,2014
18-24,2000,Connecticut,0.4246575342465753,2014
18-24,2000,Delaware,0.379746835443038,NA
18-24,2000,Florida,0.35396039603960394,NA
18-24,2000,Georgia,0.32335329341317365,NA
18-24,2000,Hawaii,0.19607843137254902,2018
18-24,2000,Idaho,0.38095238095238093,1994
18-24,2000,Illinois,0.4092071611253197,2006
18-24,2000,Indiana,0.325,NA
18-24,2000,Iowa,0.47058823529411764,2008
18-24,2000,Kansas,0.36363636363636365,NA
18-24,2000,Kentucky,0.3508771929824561,NA
18-24,2000,Louisiana,0.4306569343065693,NA
18-24,2000,Maine,0.51,1978
18-24,2000,Maryland,0.4,2016
18-24,2000,Massachusetts,0.4,NA
18-24,2000,Michigan,0.3865546218487395,NA
18-24,2000,Minnesota,0.4675324675324675,1978
18-24,2000,Mississippi,0.44274809160305345,NA
18-24,2000,Missouri,0.2905982905982906,NA
18-24,2000,Montana,0.4117647058823529,2006
18-24,2000,Nebraska,0.3227848101265823,NA
18-24,2000,Nevada,0.3119266055045872,NA
18-24,2000,New Hampshire,0.3561643835616438,1996
18-24,2000,New Jersey,0.36964980544747084,NA
18-24,2000,New Mexico,0.2553191489361702,NA
18-24,2000,New York,0.3351749539594843,NA
18-24,2000,North Carolina,0.3232758620689655,2008
18-24,2000,Ohio,0.3863013698630137,2006
18-24,2000,Oklahoma,0.36619718309859156,NA
18-24,2000,Oregon,0.4019607843137255,NA
18-24,2000,Pennsylvania,0.3282442748091603,NA
18-24,2000,Rhode Island,0.41333333333333333,NA
18-24,2000,South Carolina,0.38392857142857145,NA
